0015923061000010               010101623052950019   0858                        
0015923061001010               010101623072949020   0814                        
0015923061002010               010101625082949020   0815                        
0015923061003013               010101625072948019   0806                        
0015923061004013               010101625072949019   0815                        
0015923061005013               010101625062951020   0783                        
0015923061006                  010101627052950020   0780                        
0015923061007                  010101620052949021   0753                        
0015923061008                  010101718042951021   0772                        
0015923061009010               010101818082952023   0785                        
0015923061010010               010101918082953022   0818                        
0015923061011007               010101918072953024   0748                        
0015923061012020               010101818082952025   0665                        
0015923061013026               010101718072951025   0625                        
0015923061014                  010101718082951026   0586                        
0015923061015                  010101718052951025   0637                        
0015923061016                  010101718042950026   0617                        
0015923061017                  010101811042948025   0666                        
0015923061018                  010101707032948024   0645                        
0015923061019026               010101705032950023   0726                        
0015923061020026               010101707042950022   0777                        
0015923061021026               010101707042949021   0794                        
0015923061022010               010101707042949021   0816                        
0015923061023010               010101707032948021   0798                        
0015923061100                  010101605032949021   0777                        
0015923061101052               010101707042948020   0797                        
0015923061102059               010101709032947020   0816                        
0015923061103033               010101707032946020   0818                        
0015923061104020               010101707022947020   0819                        
0015923061105010               010101809022946020   0869                        
0015923061106007               010101807022947020   0909                        
0015923061107007               010101807032949020   0919                        
0015923061108003               010101805032949020   0919                        
0015923061109003               010101907032949021   0899                        
0015923061110013               010101909032949021   0869                        
0015923061111007               010101907022948022   0849                        
0015923061112010               010101909022948022   0829                        
0015923061113010               010101914042948023   0789                        
0015923061114007               010101918072948024   0739                        
0015923061115007               010101918062947023   0799                        
0015923061116007               010101920062946022   0819                        
0015923061117003               010101918072946022   0849                        
0015923061118007               010001923052944022   0826                        
0015923061119003               010101920052946021   0865                        
0015923061120003               010101923092947021   0865                        
0015923061121007               010101823102949021   0846                        
0015923061122010               010101925032952021   0866                        
0015923061123030               010101820032951021   0856                        
0015923061200007               010101805012951020   0906                        
0015923061201036               010101800002950020   0896                        
0015923061202010               010101825022948020   0888                        
0015923061203003               010101818042948020   0898                        
0015923061204003               010101923012948020   0918                        
0015923061205003               010101916032947020   0906                        
0015923061206010               010101920042949020   0929                        
0015923061207003               010101918042949021   0929                        
0015923061208007               010101925032951022   0879                        
0015923061209007               010101918062950023   0817                        
0015923061210013               010102018072949024   0776                        
0015923061211003               010102018102948025   0786                        
0015923061212003               010102018102947025   0777                        
0015923061213033               010102118092946025   0757                        
0015923061214                  010002018092944025   0717                        
0015923061215013               010102011072945024   0758                        
0015923061216010               010001811082944023   0717                        
0015923061217013               010001709042944023   0707                        
0015923061218013               010001709052943022   0717                        
0015923061219013               010001607052944021   0746                        
0015923061220020               010101607042945021   0746                        
0015923061221020               010101607032946021   0728                        
0015923061222033               010101605032947021   0734                        
0015923061223020               010101607032947021   0756                        
0015923061300                  010101605042947020   0802                        
0015923061301016               010101702032946020   0845                        
0015923061302016               010101600012945020   0796                        
0015923061303016               010101611022944020   0798                        
0015923061304010               010101700002945020   0808                        
0015923061305010               010101718032945020   0848                        
0015923061306010               010101720042945020   0849                        
0015923061307010               010101718052945021   0808                        
0015923061308016               010101818052946022   0798                        
0015923061309016               010101818052946024   0696                        
0015923061310023               010001918102945024   0716                        
0015923061311020               010101818092945024   0689                        
0015923061312010               010001818092945024   0706                        
0015923061313                  010001818112944024   0707                        
0015923061314033               010001818092942024   0698                        
0015923061315033               010001918092942024   0728                        
0015923061316033               010001918112941024   0737                        
0015923061317033               010001723062940024   0658                        
0015923061318                  010001723072940024   0646                        
0015923061319203               010001720062940023   0687                        
0015923061320220               010001723042940023   0719                        
0015923061321                  010001723062941022   0738                        
0015923061322                  010001625052942022   0718                        
0015923061323243               010001429042941022   0628                        
0015923061400                  010001632062940022   0706                        
0015923061401190               010001514022941022   0677                        
0015923061402194               010001629032940021   0718                        
0015923061403                  010001529062939021   0699                        
0015923061404                  010001634042941021   0716                        
0015923061405                  010001607032942020   0790                        
0015923061406013               010101605032944020   0807                        
0015923061407                  010101605022946021   0777                        
0015923061408                  010101607022946021   0749                        
0015923061409                  010101600012947022   0699                        
0015923061410                  010101718042948023   0709                        
0015923061411                  010101718042949024   0689                        
0015923061412                  010101814052948025   0648                        
0015923061413013               010101811042948024   0719                        
0015923061414                  010101811082947025   0688                        
0015923061415026               010101811062947025   0653                        
0015923061416016               010101816052946025   0682                        
0015923061417010               010101911042947024   0723                        
0015923061418036               010101707052947023   0723                        
0015923061419                  010101711042947022   0756                        
0015923061420                  010101709032949021   0776                        
0015923061421115               010101707032952020   0813                        
0015923061422026               010101707032954020   0796                        
0015923061423016               010101436052954020   0697                        
0015923061500095               010101402032952020   0724                        
0015923061501                  010101400012952019   0751                        
0015923061502                  010101311012952019   0710                        
0015923061503                  010101300002952018   0750                        
0015923061504                  010101411012952018   0790                        
0015923061505                  010101402022952018   0780                        
0015923061506                  010101400012953018   0790                        
0015923061507                  010101514012954019   0761                        
0015923061508030               010101611032955021   0754                        
0015923061509016               010101611052955023   0653                        
0015923061510020               010101609052955024   0637                        
0015923061511016               010101618062956023   0688                        
0015923061512016               010101718062955024   0655                        
0015923061513026               010101718072954025   0613                        
0015923061514026               010101618102953024   0612                        
0015923061515020               010101620062954025   0607                        
0015923061516125               010101616052953025   0577                        
0015923061517                  010101618092953023   0655                        
0015923061518                  010101618052954023   0657                        
0015923061519                  010101616062956022   0726                        
0015923061520171               010101618052958021   0756                        
0015923061521                  010101618032960021   0770                        
0015923061522013               010101607032962020   0776                        
0015923061523                  010101607022962020   0775                        
0015923061600                  010101718042963020   0813                        
0015923061601                  010101627032963020   0803                        
0015923061602                  010101725062962020   0825                        
0015923061603                  010101636022962020   0780                        
0015923061604                  010101632072962020   0790                        
0015923061605                  010101623032964019   0810                        
0015923061606                  010101629062966020   0790                        
0015923061607                  010101632082967021   0770                        
0015923061608                  010101729042968023   0690                        
0015923061609                  010101627062969025   0600                        
0015923061610                  010101720032970027   0560                        
0015923061611                  010101816072970027   0600                        
0015923061612                  010101818092969027   0600                        
0015923061613                  010101818092968026   0620                        
0015923061614039               010101818092967025   0631                        
0015923061615039               010101918102966026   0661                        
0015923061616                  010101818102964025   0631                        
0015923061617                  010101618092964025   0582                        
0015923061618                  010101618082964024   0602                        
0015923061619                  010101418072966024   0550                        
0015923061620                  010101420082967022   0604                        
0015923061621                  010101420072969022   0613                        
0015923061622                  010101223032971022   0546                        
0015923061623                  010100923062970022   0423                        
0015923061700                  010100820052970022   0414                        
0015923061701                  010101118042969022   0506                        
0015923061702                  010101225042969021   0566                        
0015923061703                  010101227052969021   0584                        
0015923061704                  010101325062970020   0630                        
0015923061705                  010101325052969020   0610                        
0015923061706                  010101327052969021   0595                        
0015923061707                  010101518052970023   0626                        
0015923061708                  010101432062970024   0556                        
0015923061709                  010101618082969026   0543                        
0015923061710                  010101618092968026   0574                        
0015923061711                  010101618102969024   0627                        
0015923061712                  010101618102969025   0588                        
0015923061713                  010101818112967025   0648                        
0015923061714                  010101718092965026   0555                        
0015923061715                  010101620072965027   0538                        
0015923061716                  010101516102963025   0527                        
0015923061717                  010101516092962024   0568                        
0015923061718                  010101318072962023   0549                        
0015923061719                  010101318072962022   0579                        
0015923061720                  010101318072962022   0589                        
0015923061721                  010101220052962023   0539                        
0015923061722226               010101223042963023   0519                        
0015923061723190               010101420062962022   0609                        
0015923061800                  010101225072960022   0529                        
0015923061801249               010101123062959022   0499                        
0015923061802240               010101225062958022   0559                        
0015923061803                  010101325092957022   0579                        
0015923061804                  010101425082955021   0629                        
0015923061805                  010101423082954021   0619                        
0015923061806                  010101523052954021   0658                        
0015923061807                  010101623052954022   0678                        
0015923061808                  010101523062953023   0619                        
0015923061809                  010101623082953024   0607                        
0015923061810                  010101723052952026   0577                        
0015923061811                  010101818102951027   0596                        
0015923061812                  010101718082950027   0567                        
0015923061813                  010101718082949027   0555                        
0015923061814                  010101718092947027   0554                        
0015923061815                  010101718042947028   0535                        
0015923061816                  010101720042945027   0564                        
0015923061817                  010101818082946025   0686                        
0015923061818                  010101918082947023   0767                        
0015923061819                  010101818052949023   0770                        
0015923061820                  010101818042949022   0780                        
0015923061821                  010101820032950021   0830                        
0015923061822                  010101705022952022   0750                        
0015923061823                  010101707032951022   0730                        
0015923061900                  010101700002951021   0790                        
0015923061901                  010101823032950020   0850                        
0015923061902                  010101709022949020   0821                        
0015923061903                  010101709032949021   0790                        
0015923061904                  010101607032949020   0770                        
0015923061905                  010101605032950021   0740                        
0015923061906                  010101607062951021   0710                        
0015923061907                  010101605042951022   0660                        
0015923061908                  010101605062952024   0600                        
0015923061909                  010101607062952026   0560                        
0015923061910                  010101705062953027   0540                        
0015923061911                  010101709062953028   0540                        
0015923061912                  010101811052953028   0540                        
0015923061913                  010101809062951028   0550                        
0015923061914                  010101709092949027   0573                        
0015923061915                  010101609052948027   0527                        
0015923061916                  010101709062947026   0577                        
0015923061917                  010101607052949025   0567                        
0015923061918                  010101707072949024   0627                        
0015923061919                  010101607062952024   0637                        
0015923061920                  010101605052954023   0677                        
0015923061921026               010101607042955022   0698                        
0015923061922020               010101707042956022   0748                        
0015923061923020               010101607052955021   0728                        
0015923062000020               010101507062953021   0688                        
0015923062001                  010101505072952021   0678                        
0015923062002                  010101305062952021   0616                        
0015923062003020               010101305062950020   0657                        
0015923062004016               010101505072949020   0715                        
0015923062005016               010101405092949020   0703                        
0015923062006016               010101505062950020   0725                        
0015923062007020               010101505062951021   0686                        
0015923062008033               010101507062952022   0646                        
0015923062009033               010101507072951023   0614                        
0015923062010033               010101509062952025   0573                        
0015923062011                  010101509062951026   0534                        
0015923062012                  010101509052950025   0537                        
0015923062013                  010101511052949026   0506                        
0015923062014                  010101509072949025   0537                        
0015923062015                  010101609062948025   0598                        
0015923062016                  010101609062948023   0659                        
0015923062017115               010101607042946022   0669                        
0015923062018098               010101607062946022   0679                        
0015923062019157               010101507062945022   0677                        
0015923062020151               010101509042946021   0699                        
0015923062021033               010101505062947021   0689                        
0015923062022098               010101607062947021   0739                        
0015923062023033               010101507062947021   0719                        
0015923062100026               010101705032945020   0809                        
